id,name,host_id,host_name,neighbourhood_group,neighbourhood,lat,long,country,cancellation_policy,room_type,construction_year,price,service_fee,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_rate_number,calculated_host_listings_count,availability_365,house_rules,instant_bookable_False,instant_bookable_True,instant_bookable_unknown,host_identity_verified_unknown,host_identity_verified_verified,price_per_night,availability_level,is_highly_rated,is_active,host_experience,is_expensive,price_category
2833315,Spacious 1 bed near train!,11351887844,Terry & Kristen,Queens,Ditmars Steinway,40.77906,-73.91265,United States,1.0,Entire home/apt,2004.0,257,51,3.0,38.0,7/2/2019,0.62,4.0,1.0,393.0,"Please pick up after yourself (remove hair after taking a shower/shaving, etc.), and make sure things are left tidy after you used bathrooms. Keep toilet seat closed so cat can't get to water. Please avoid morning rush between 6am and 10 am and take shower at night (unless you shower is literally 2 min or less). Additional toilet/sink on the first floor. Always wipe off toothpaste from sink and faucet as a courtesy to others.  Immediately notify me if something was broken or out of order or you forgot to wash a plate. Don't leave any food in your room. Proper trash disposal: recycling is very important. Rinse containers before placing into collection; all food leftovers must go inside kitchen sink for disposal. Avoid bringing in plastic bags, but if you must occasionally, please place into recycling for bags under the sink. Please tidy up  your room after departure and take care of dirty dishes. Departure after check out time billed one hundred dollars Mailing address is NOT TO be shar",True,False,False,False,True,85.66666666666667,,False,True,new,False,low
44971596,New Renovated Private 1 bed/bath in Prime Location,11330339135,Eric,Manhattan,Upper East Side,40.78071,-73.95149,United States,1.0,Private room,2018.0,1125,225,1.0,3.0,4/17/2017,0.11,5.0,1.0,0.0,Keep the apartment clean & tidy and take care of the furnishings No smoking No  pets No parties Contact me immediately with any questions or concerns $150.00 Cleaning Fee Enjoy your stay!,True,False,False,False,False,1125.0,,True,True,new,True,high
9620530,Large 1bdr perfect Village location,2324847506,Emory,Manhattan,Greenwich Village,40.73432,-73.9972,United States,1.0,Entire home/apt,2012.0,959,192,2.0,75.0,6/2/2019,1.93,4.0,1.0,272.0,No Smoking  No Pets,True,False,False,False,True,479.5,high,False,True,new,True,high
14667447,Williamsburg Brooklyn,29316343127,Gina,Brooklyn,Williamsburg,40.71949,-73.95827,United States,1.0,Entire home/apt,2020.0,248,50,3.0,1.0,1/2/2019,0.16,3.0,1.0,0.0,"No pets and no smoking (including outside near the entrance, as it sometimes blows back into the building). Please remove your shoes when entering (we have sensitive floors :)). Thank you!",False,True,False,False,False,82.66666666666667,,False,True,new,False,low
22753672,Beautiful Luxury Building Studio Apartment,74927711049,Sini,Brooklyn,Fort Greene,40.68643,-73.97873,United States,0.0,Entire home/apt,2020.0,980,196,1.0,1.0,1/4/2019,0.16,3.0,1.0,1.0,"- Washer/dryer coinup in apartment basement. - There is no set check-in time. I can accommodate you, and I may not even be on the premises. The last date offered in the calendar is the vacate date not the last night. - May be available on Sunday the 21st.",False,True,False,False,True,980.0,low,False,True,new,True,high
1968966,Spacious Lower East Side Studio,27186418361,Martin,Manhattan,Lower East Side,40.71703,-73.98612,United States,0.0,Entire home/apt,2019.0,541,108,2.0,260.0,6/27/2019,3.58,2.0,1.0,318.0,This is a quiet residential neighborhood. No partying or loudness please. No smoking in or around the premises. Please avoid wearing shoes in the carpeted parts of the house. Thank you!,True,False,False,False,True,270.5,high,False,True,new,False,medium
42525459,Brand New BK Duplex in the Center of it All!!!,62497467943,Sam,Brooklyn,Bedford-Stuyvesant,40.68736,-73.93827,United States,0.0,Entire home/apt,2011.0,889,178,2.0,13.0,6/23/2019,5.34,4.0,1.0,278.0,none,True,False,False,False,True,444.5,high,False,True,new,True,high
40371489,Spacious Midtown Manhattan room,11769943303,Ayse Sera,Manhattan,Midtown,40.76129,-73.96869,United States,2.0,Entire home/apt,2010.0,76,15,3.0,21.0,10/12/2016,0.34,1.0,1.0,98.0,none,False,True,False,False,False,25.333333333333332,medium,False,True,new,False,low
53978504,Cosy condo in Williamsburg with amazing rooftop,57624429179,David,Brooklyn,Williamsburg,40.71552,-73.94263,United States,1.0,Private room,2006.0,891,178,2.0,0.0,,0.0,4.0,1.0,0.0,none,True,False,False,False,False,445.5,,False,False,new,True,high
6688369,Luxury Townhouse in Brownstone Brooklyn,32212193177,Andrew,Brooklyn,South Slope,40.66921,-73.98813,United States,1.0,Entire home/apt,2008.0,833,167,6.0,28.0,4/30/2019,0.68,5.0,3.0,27.0,No outdoor shoes within the apartment and loud noises.,True,False,False,False,False,138.83333333333334,low,True,True,small,True,high
7114745,My GREENPOINT apt just for you!,47904150597,Fernando,Brooklyn,Greenpoint,40.73248,-73.95237,United States,2.0,Entire home/apt,2004.0,1111,222,5.0,3.0,8/24/2016,0.07,3.0,1.0,4.0,none,True,False,False,False,True,222.2,low,False,True,new,True,high
31907492,Newly renovated modern apt! Private apartment!,49444678614,Vl,Brooklyn,Flatlands,40.60973,-73.92804,United States,2.0,Entire home/apt,2019.0,981,196,1.0,136.0,1/31/2022,4.18,5.0,1.0,363.0,none,False,True,False,False,False,981.0,high,True,True,new,True,high
52898758,Cozy private room in Times Square/Rockefeller,80325910000,Cindy,Manhattan,Midtown,40.75866,-73.98032,United States,0.0,Private room,2008.0,930,186,3.0,13.0,1/1/2019,0.88,4.0,2.0,0.0,"Before checking out, please: 1. Take out trash (basement level, back door - red dumpsters) 2. Wash dishes and put in dishrack 3. Return keys to the lockbox by 12 noon (unless we made other arrangements)",False,True,False,False,True,310.0,,False,True,small,True,high
52445320,Simple Nice Private Bedroom in Hamilton Heights,57865435243,Bridget,Manhattan,Harlem,40.82826,-73.94589,United States,0.0,Private room,2019.0,1000,200,2.0,8.0,7/1/2018,0.49,2.0,1.0,156.0,No other pets allowed. No smoking. We expect general respect for our house and things. No access to private bedrooms.,True,False,False,False,True,500.0,medium,False,True,new,True,high
24148229,Cali-Retro Duplex w/ HUGE private backyard!,75347674716,Jenny,Brooklyn,Greenpoint,40.73297,-73.95466,United States,1.0,Entire home/apt,2016.0,100,20,2.0,0.0,,0.0,2.0,2.0,76.0,"- We're on the top floor of a multi-family dwelling, we know you'll be respectful and kind to the families downstairs! - We love to read and play board games; we'd love to share our books and games with you, just make sure they go back where you found them. - We invite you to use our kitchen and we're happy to share basics like oil and spices but please provide your own groceries - you'll have your own shelf in the refrigerator. - You're welcome to bring friends back to hang out but we ask that no one that we aren't prepared for spend the night! - Please indulge in our living room's mini theatre system - hook up your computer or phone to the monitor and speaker system with our business speed wifi for a great viewing experience.",False,True,False,False,True,50.0,medium,False,False,small,False,low
55867370,Cozy 1BR Apartment in Heart of LES,58575139402,Jason,Manhattan,Lower East Side,40.71895,-73.98922,United States,1.0,Entire home/apt,2004.0,545,109,3.0,8.0,4/30/2019,0.92,4.0,1.0,0.0,none,True,False,False,False,False,181.66666666666666,,False,True,new,False,medium
43994025,Bedroom in Spacious Williamsburg Loft,43704407183,Andrea,Brooklyn,Williamsburg,40.70675,-73.96768,United States,1.0,Private room,2009.0,968,194,2.0,3.0,6/2/2017,0.11,5.0,1.0,0.0,none,False,True,False,False,True,484.0,,True,True,new,True,high
12583067,Artstuy,34677449594,Jessie,Brooklyn,Bedford-Stuyvesant,40.68554,-73.94478,United States,2.0,Private room,2018.0,966,193,1.0,13.0,4/21/2019,0.45,1.0,2.0,268.0,NO Smoking Pets Allowed with Fee,False,True,False,False,True,966.0,high,False,True,small,True,high
22526124,"Spacious, Sleeps 10, 2 baths, EAST VILLAGE!",80106000020,Amy & Brian,Manhattan,East Village,40.72336,-73.98465,United States,1.0,Entire home/apt,2010.0,1162,232,1.0,28.0,6/23/2019,4.75,3.0,1.0,293.0,none,True,False,False,False,True,1162.0,high,False,True,new,True,high
